,ts,id,T,P
0,0.01,BARO0,30.87,96229
1,0.01,BARO1,30.96,96202
2,0.01,BARO2,31.69,96193
3,0.02,BARO0,30.87,96233
4,0.02,BARO1,30.96,96201
5,0.02,BARO2,31.69,96190
6,0.03,BARO0,30.87,96230
7,0.03,BARO1,30.96,96201
8,0.03,BARO2,31.69,96193
9,0.04,BARO0,30.87,96229
10,0.04,BARO1,30.96,96202
11,0.04,BARO2,31.69,96187
12,0.05,BARO0,30.87,96235
13,0.05,BARO1,30.96,96205
14,0.05,BARO2,31.69,96192
15,0.06,BARO0,30.87,96230
16,0.06,BARO1,30.96,96204
17,0.06,BARO2,31.69,96188
18,0.07,BARO0,30.87,96228
19,0.07,BARO1,30.96,96199
20,0.07,BARO2,31.68,96189
21,0.08,BARO0,30.88,96230
22,0.08,BARO1,30.96,96201
23,0.08,BARO2,31.69,96192
24,0.09,BARO0,30.87,96229
25,0.09,BARO1,30.96,96200
26,0.09,BARO2,31.69,96188
27,0.1,BARO0,30.88,96233
28,0.1,BARO1,30.96,96206
29,0.1,BARO2,31.69,96191
30,0.11,BARO0,30.88,96230
31,0.11,BARO1,30.96,96203
32,0.11,BARO2,31.69,96190
33,0.12,BARO0,30.88,96227
34,0.12,BARO1,30.96,96203
35,0.12,BARO2,31.69,96186
36,0.13,BARO0,30.87,96229
37,0.13,BARO1,30.96,96205
38,0.13,BARO2,31.69,96186
39,0.14,BARO0,30.87,96230
40,0.14,BARO1,30.96,96202
41,0.14,BARO2,31.69,96188
42,0.15,BARO0,30.87,96236
43,0.15,BARO1,30.96,96203
44,0.15,BARO2,31.69,96189
45,0.16,BARO0,30.87,96235
46,0.16,BARO1,30.96,96202
47,0.16,BARO2,31.69,96187
48,0.17,BARO0,30.88,96234
49,0.17,BARO1,30.96,96205
50,0.17,BARO2,31.69,96183
51,0.18,BARO0,30.87,96237
52,0.18,BARO1,30.96,96200
53,0.18,BARO2,31.69,96193
54,0.19,BARO0,30.87,96229
55,0.19,BARO1,30.96,96202
56,0.19,BARO2,31.69,96190
57,0.2,BARO0,30.87,96234
58,0.2,BARO1,30.96,96201
59,0.2,BARO2,31.69,96184
60,0.21,BARO0,30.88,96231
61,0.21,BARO1,30.96,96202
62,0.21,BARO2,31.69,96192
63,0.22,BARO0,30.87,96227
64,0.22,BARO1,30.96,96202
65,0.22,BARO2,31.69,96186
66,0.23,BARO0,30.87,96231
67,0.23,BARO1,30.96,96198
68,0.23,BARO2,31.69,96192
