,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,501330,0,0,0,0,0,0
1,501340,0,0,0,0,0,0
2,501350,0,0,0,0,0,0
3,501360,0,0,0,0,0,0
4,501370,0,0,0,0,0,0
5,501380,0,0,0,0,0,0
6,501390,0,0,0,0,0,0
7,501400,0,0,0,0,0,0
8,501410,0,0,0,0,0,0
9,501420,0,0,0,0,0,0
10,501430,0,0,0,0,0,0
11,501440,0,0,0,0,0,0
12,501450,0,0,0,0,0,0
13,501460,0,0,0,0,0,0
14,501470,0,0,0,0,0,0
15,501480,0,0,0,0,0,0
16,501490,0,0,0,0,0,0
17,501500,0,0,0,0,0,0
18,501510,0,0,0,0,0,0
19,501520,0,0,0,0,0,0
20,501530,0,0,0,0,0,0
21,501540,0,0,0,0,0,0
22,501550,0,0,0,0,0,0
23,501560,0,0,0,0,0,0
24,501570,0,0,0,0,0,0
25,501580,0,0,0,0,0,0
26,501590,0,0,0,0,0,0
27,501600,0,0,0,0,0,0
28,501610,0,0,0,0,0,0
29,501620,0,0,0,0,0,0
30,501630,0,0,0,0,0,0
31,501640,0,0,0,0,0,0
32,501650,0,0,0,0,0,0
33,501660,0,0,0,0,0,0
34,501670,0,0,0,0,0,0
35,501680,0,0,0,0,0,0
36,501690,0,0,0,0,0,0
37,501700,0,0,0,0,0,0
38,501710,0,0,0,0,0,0
39,501720,0,0,0,0,0,0
40,501730,0,0,0,0,0,0
41,501740,0,0,0,0,0,0
42,501750,0,0,0,0,0,0
43,501760,0,0,0,0,0,0
44,501770,0,0,0,0,0,0
45,501780,0,0,0,0,0,0
46,501790,0,0,0,0,0,0
47,501800,0,0,0,0,0,0
48,501810,0,0,0,0,0,0
49,501820,0,0,0,0,0,0
50,501830,0,0,0,0,0,0
51,501840,0,0,0,0,0,0
52,501850,0,0,0,0,0,0
53,501860,0,0,0,0,0,0
54,501870,0,0,0,0,0,0
55,501880,0,0,0,0,0,0
56,501890,0,0,0,0,0,0
57,501900,0,0,0,0,0,0
58,501910,0,0,0,0,0,0
59,501920,0,0,0,0,0,0
60,501930,0,0,0,0,0,0
61,501940,0,0,0,0,0,0
62,501950,0,0,0,0,0,0
63,501960,0,0,0,0,0,0
64,501970,0,0,0,0,0,0
65,501980,0,0,0,0,0,0
66,501990,0,0,0,0,0,0
67,502000,0,0,0,0,0,0
68,502010,0,0,0,0,0,0
69,502020,0,0,0,0,0,0
70,502030,0,0,0,0,0,0
71,502040,0,0,0,0,0,0
72,502050,0,0,0,0,0,0
73,502060,0,0,0,0,0,0
74,502070,0,0,0,0,0,0
75,502080,0,0,0,0,0,0
76,502090,0,0,0,0,0,0
77,502100,0,0,0,0,0,0
78,502110,0,0,0,0,0,0
79,502120,0,0,0,0,0,0
80,502130,0,0,0,0,0,0
81,502140,0,0,0,0,0,0
82,502150,0,0,0,0,0,0
83,502160,0,0,0,0,0,0
84,502170,0,0,0,0,0,0
85,502180,0,0,0,0,0,0
86,502190,0,0,0,0,0,0
87,502200,0,0,0,0,0,0
88,502210,0,0,0,0,0,0
89,502220,0,0,0,0,0,0
90,502230,0,0,0,0,0,0
91,502240,0,0,0,0,0,0
92,502250,0,0,0,0,0,0
93,502260,0,0,0,0,0,0
94,502270,0,0,0,0,0,0
95,502280,0,0,0,0,0,0
96,502290,0,0,0,0,0,0
97,502300,0,0,0,0,0,0
98,502310,0,0,0,0,0,0
99,502320,0,0,0,0,0,0
100,502330,0,0,0,0,0,0
101,502340,0,0,0,0,0,0
102,502350,0,0,0,0,0,0
103,502360,0,0,0,0,0,0
104,502370,0,0,0,0,0,0
105,502380,0,0,0,0,0,0
106,502390,0,0,0,0,0,0
107,502400,0,0,0,0,0,0
108,502410,0,0,0,0,0,0
109,502420,0,0,0,0,0,0
110,502430,0,0,0,0,0,0
111,502440,0,0,0,0,0,0
112,502450,0,0,0,0,0,0
113,502460,0,0,0,0,0,0
114,502470,0,0,0,0,0,0
115,502480,0,0,0,0,0,0
116,502490,0,0,0,0,0,0
117,502500,0,0,0,0,0,0
118,502510,0,0,0,0,0,0
119,502520,0,0,0,0,0,0
120,502530,0,0,0,0,0,0
121,502540,0,0,0,0,0,0
122,502550,0,0,0,0,0,0
123,502560,0,0,0,0,0,0
124,502570,0,0,0,0,0,0
125,502580,0,0,0,0,0,0
126,502590,0,0,0,0,0,0
127,502600,0,0,0,0,0,0
128,502610,0,0,0,0,0,0
129,502620,0,0,0,0,0,0
130,502630,0,0,0,0,0,0
131,502640,0,0,0,0,0,0
132,502650,0,0,0,0,0,0
133,502660,0,0,0,0,0,0
134,502670,0,0,0,0,0,0
135,502680,0,0,0,0,0,0
136,502690,0,0,0,0,0,0
137,502700,0,0,0,0,0,0
138,502710,0,0,0,0,0,0
139,502720,0,0,0,0,0,0
140,502730,0,0,0,0,0,0
141,502740,0,0,0,0,0,0
142,502750,0,0,0,0,0,0
143,502760,0,0,0,0,0,0
144,502770,0,0,0,0,0,0
145,502780,0,0,0,0,0,0
146,502790,0,0,0,0,0,0
147,502800,0,0,0,0,0,0
148,502810,0,0,0,0,0,0
149,502820,0,0,0,0,0,0
150,502830,0,0,0,0,0,0
151,502840,0,0,0,0,0,0
